Report_Name|NYPL DRB Book Total Usage by Title
Report_ID|0d9b5b32-7b7e-4a4f-9860-6d3f1be089a5
Report_Description|Usage of your books on NYPL's Digital Research Books.
Publisher_Name|University of Michigan
Reporting_Period|2024-08-01 to 2024-08-31
Created|2024-10-01
Created_By|NYPL

Book Title|Book ID|Authors|ISBN(s)|OCLC Number(s)|Publication Year|Disciplines|Usage Type|Reporting Period Total|August 2024
On the current situation in the Ukraine|https://drb-qa.nypl.org/edition/6978634|Mazlakh, SerhiÄ­ M; Shakhrai, Vasyl'|0472085905, 9780472085903|90825|1970||Limited Access|12|12
Catching on to American idioms|https://drb-qa.nypl.org/edition/6977904|Ellin-Elmakiss, Esther|9780472080496, 0472080490|11570491|1984|English as a Second Language (ESL)|Limited Access|4|4
Borne of the wind : an introduction to the ecology of Michigan's sand dunes|https://drb-qa.nypl.org/edition/6978537|Albert, Dennis A|9780472031726, 0472031724|63703519|2006|Michigan and the Great Lakes - Nature, Nature/Environment - Natural Resources, Michigan and the Great Lakes - Natural Resources|Limited Access|1|1
Cosa, the making of a Roman town|https://drb-qa.nypl.org/edition/6977884|Brown, Frank Edward|0472041002, 9780472041008|5675403|1979|Classical Studies - Roman, History, Archaeology - Roman|Limited Access|26|26
Matthew Arnold and the classical tradition|https://drb-qa.nypl.org/edition/6978659|Anderson, Warren D||359269|1965|Literary Studies - 19th Century Literature, Literary Studies - British and Irish Literatures, History|Limited Access|9|9
Writing for business|https://drb-qa.nypl.org/edition/6977893|Bromage, Mary Cogan||1492237|1965|Composition, Business|Limited Access|7|7
Educating economists|https://drb-qa.nypl.org/edition/6978075|Colander, David; Brenner, Reuven |0472094866, 9780472094868, 047206486X, 9780472064861|24907931|1992|Economics, Education|Limited Access|9|9
A historical commentary on Thucydides : a companion to Rex Warner's Penguin translation|https://drb-qa.nypl.org/edition/6978193|Cartwright, David|0472106953, 9780472106950, 0472084194, 9780472084197|35651082|1997|History, Classical Studies, Archaeology|Limited Access|7|7
Seeking the heart of teaching|https://drb-qa.nypl.org/edition/6977782|Palmer, Adrian S; Christison, MaryAnn|0472032267, 9780472032266|154666458|2007|Education|Limited Access|1|1
Intermediate reading practices|https://drb-qa.nypl.org/edition/6978204|Folse, Keith S|047208206X, 9780472082063|28302887|1993|English as a Second Language (ESL)|Limited Access|3|3
